run_id,max_active_dag1,max_active_dag2,threads,deadline_scale,build_status,run_status,dag1_executed,dag1_deferred,dag1_deadline_miss,dag1_miss_rate,dag1_avg_exec_ns,dag1_max_exec_ns,dag1_avg_lateness_ns,dag1_max_lateness_ns,dag1_hist_0_1ms,dag1_hist_1_5ms,dag1_hist_5_10ms,dag1_hist_gt_10ms,dag2_executed,dag2_deferred,dag2_deadline_miss,dag2_miss_rate,dag2_avg_exec_ns,dag2_max_exec_ns,dag2_avg_lateness_ns,dag2_max_lateness_ns,dag2_hist_0_1ms,dag2_hist_1_5ms,dag2_hist_5_10ms,dag2_hist_gt_10ms,log_path
11,2,4,8,1.1,ok,ok,47533,30381,46518,0.978646,7460,150042,119695000,270838709,20,92,134,46272,7137,249,3,0.000420,7382,139250,3875166,4165167,0,3,0,0,/Users/mehedihasan/rp_ws/phase15/logs/r011_a1_2_a2_4_t8_d1p1.log
12,2,4,10,1.2,ok,ok,44837,31424,43336,0.966523,7243,834416,112635731,236506459,40,142,238,42916,12078,2306,806,0.066733,6900,1024375,62732789,155668959,16,27,18,745,/Users/mehedihasan/rp_ws/phase15/logs/r012_a1_2_a2_4_t10_d1p2.log
13,2,5,4,0.8,ok,ok,61821,10994,61096,0.988273,7169,127959,96872140,241496125,14,38,79,60965,7784,0,2,0.000257,6551,206750,17898959,19851126,0,0,0,2,/Users/mehedihasan/rp_ws/phase15/logs/r013_a1_2_a2_5_t4_d0p8.log
14,2,5,6,0.9,ok,ok,53476,20067,52644,0.984442,7836,2423959,114274315,290546334,20,74,101,52449,6647,0,3,0.000451,7759,774958,16919639,22189500,0,0,0,3,/Users/mehedihasan/rp_ws/phase15/logs/r014_a1_2_a2_5_t6_d0p9.log
15,2,5,8,1.1,ok,ok,42686,32276,41514,0.972544,7439,996709,141356247,322982250,17,65,107,41325,11103,1555,113,0.010177,6698,242584,5257861,33520084,33,58,0,22,/Users/mehedihasan/rp_ws/phase15/logs/r015_a1_2_a2_5_t8_d1p1.log
16,2,5,10,1.2,ok,ok,47394,29369,45933,0.969173,7439,488375,105994947,313800334,49,229,487,45168,10364,1364,294,0.028367,6965,215709,35354781,65723709,2,5,13,274,/Users/mehedihasan/rp_ws/phase15/logs/r016_a1_2_a2_5_t10_d1p2.log
17,3,2,4,0.8,ok,ok,27027,0,19272,0.713065,5162,203583,30825380,91970000,228,1146,1358,16540,46769,1548,43985,0.940473,5752,318833,42019742,161779209,340,954,1493,41198,/Users/mehedihasan/rp_ws/phase15/logs/r017_a1_3_a2_2_t4_d0p8.log
18,3,2,6,0.9,ok,ok,30265,10575,19446,0.642524,5400,1356542,51762893,210645000,276,1062,1283,16825,29350,19156,27494,0.936763,5511,464125,136645816,345735667,73,272,447,26702,/Users/mehedihasan/rp_ws/phase15/logs/r018_a1_3_a2_2_t6_d0p9.log
19,3,2,8,1.1,ok,ok,25123,16753,17466,0.695220,6270,2813833,86179758,254455083,122,623,761,15960,28177,25510,25842,0.917131,6346,1638583,113748662,323142459,43,166,242,25391,/Users/mehedihasan/rp_ws/phase15/logs/r019_a1_3_a2_2_t8_d1p1.log
20,3,2,10,1.2,ok,ok,25502,17969,18809,0.737550,6298,398083,88024916,248083125,135,617,719,17338,24398,23500,22906,0.938847,6393,451542,103721932,347630501,59,181,220,22446,/Users/mehedihasan/rp_ws/phase15/logs/r020_a1_3_a2_2_t10_d1p2.log
21,3,3,4,0.8,ok,ok,37545,0,35997,0.958769,5071,603958,35745639,108480250,139,654,1331,33873,36595,0,34241,0.935674,4814,1093250,30247412,107016875,177,964,1895,31205,/Users/mehedihasan/rp_ws/phase15/logs/r021_a1_3_a2_3_t4_d0p8.log
22,3,3,6,0.9,ok,ok,62739,10409,61615,0.982085,6791,246542,83956089,272212583,29,112,195,61279,7920,0,2,0.000253,6509,141875,10608334,19933167,0,1,0,1,/Users/mehedihasan/rp_ws/phase15/logs/r022_a1_3_a2_3_t6_d0p9.log
23,3,3,8,1.1,ok,ok,30674,19165,26324,0.858186,5815,1376333,85317151,270119792,166,813,888,24457,26656,14757,21288,0.798619,5437,343625,70849304,232242208,211,684,934,19459,/Users/mehedihasan/rp_ws/phase15/logs/r023_a1_3_a2_3_t8_d1p1.log
24,3,3,10,1.2,ok,ok,30905,26275,28701,0.928685,6134,112709,102884020,246310667,87,338,535,27741,21620,18686,15877,0.734366,5894,110375,80576982,190208708,67,283,476,15051,/Users/mehedihasan/rp_ws/phase15/logs/r024_a1_3_a2_3_t10_d1p2.log
25,3,4,4,0.8,ok,ok,41497,0,40290,0.970914,5068,1124666,33441767,101165375,163,754,1645,37728,33493,0,30274,0.903890,4834,204084,30560317,102902792,275,1120,1633,27246,/Users/mehedihasan/rp_ws/phase15/logs/r025_a1_3_a2_4_t4_d0p8.log
26,3,4,6,0.9,ok,ok,60257,12127,59156,0.981728,7069,187709,91392945,282589583,32,119,83,58922,9097,0,2,0.000220,6863,320000,9778312,15031875,0,1,0,1,/Users/mehedihasan/rp_ws/phase15/logs/r026_a1_3_a2_4_t6_d0p9.log
27,3,4,8,1.1,ok,ok,43618,24587,39314,0.901325,6449,148750,113654392,316538750,143,313,438,38420,16608,5920,3848,0.231696,5757,102584,42281418,160745375,102,349,401,2996,/Users/mehedihasan/rp_ws/phase15/logs/r027_a1_3_a2_4_t8_d1p1.log
28,3,4,10,1.2,ok,ok,33814,23706,30598,0.904891,6308,429292,101941082,276884000,91,304,230,29973,21651,13345,12599,0.581913,5661,1241500,65645572,176873000,263,734,514,11088,/Users/mehedihasan/rp_ws/phase15/logs/r028_a1_3_a2_4_t10_d1p2.log
29,3,5,4,0.8,ok,ok,41031,0,39738,0.968487,5179,10308250,34258563,147713833,120,831,1113,37674,34773,0,30763,0.884681,4598,106375,29630009,138513208,247,1538,1528,27450,/Users/mehedihasan/rp_ws/phase15/logs/r029_a1_3_a2_5_t4_d0p8.log
30,3,5,6,0.9,ok,ok,60920,13446,59770,0.981123,6693,209583,91262318,240251459,15,72,103,59580,9157,0,2,0.000218,6249,93667,11787000,19991250,0,1,0,1,/Users/mehedihasan/rp_ws/phase15/logs/r030_a1_3_a2_5_t6_d0p9.log
31,3,5,8,1.1,ok,ok,53630,16120,51004,0.951035,7344,1875208,94401779,293632334,121,312,583,49988,11056,0,2,0.000181,7598,1663167,23239875,43979041,0,1,0,1,/Users/mehedihasan/rp_ws/phase15/logs/r031_a1_3_a2_5_t8_d1p1.log
32,3,5,10,1.2,ok,ok,39234,23830,36966,0.942193,6801,1336834,108872742,292261125,36,178,274,36478,18965,7234,4665,0.245979,5979,798708,43251613,191090583,77,317,363,3908,/Users/mehedihasan/rp_ws/phase15/logs/r032_a1_3_a2_5_t10_d1p2.log
33,4,2,4,0.8,ok,ok,35163,0,29141,0.828740,4838,162416,29971597,91775084,294,1434,2139,25274,37080,0,36042,0.972006,4824,159791,38496161,101204501,117,801,1115,34009,/Users/mehedihasan/rp_ws/phase15/logs/r033_a1_4_a2_2_t4_d0p8.log
34,4,2,6,0.9,ok,ok,32010,186,21988,0.686910,5934,348125,48300217,111870000,66,255,366,21301,40489,9169,34600,0.854553,6885,98125,64982687,194002625,142,641,1100,32717,/Users/mehedihasan/rp_ws/phase15/logs/r034_a1_4_a2_2_t6_d0p9.log
35,4,2,8,1.1,ok,ok,24013,10167,10729,0.446800,5718,155334,61561483,197887750,215,750,659,9105,33546,26494,30485,0.908752,6227,168667,104621750,287600375,86,384,581,29434,/Users/mehedihasan/rp_ws/phase15/logs/r035_a1_4_a2_2_t8_d1p1.log
36,4,2,10,1.2,ok,ok,22287,9379,9098,0.408220,6162,122500,77858882,237359083,98,375,430,8195,38418,24447,24156,0.628768,6690,121416,93325273,235414417,184,508,360,23104,/Users/mehedihasan/rp_ws/phase15/logs/r036_a1_4_a2_2_t10_d1p2.log
37,4,3,4,0.8,ok,ok,38737,0,35683,0.921161,4828,130167,29483856,79973251,240,1226,1796,32421,37199,0,35551,0.955698,4691,218083,28861403,78211292,221,1213,1757,32360,/Users/mehedihasan/rp_ws/phase15/logs/r037_a1_4_a2_3_t4_d0p8.log
38,4,3,6,0.9,ok,ok,20970,39,11364,0.541917,5925,316625,46595600,94377750,158,486,308,10412,53949,7745,42450,0.786854,6452,164542,40343654,197679084,439,1902,3107,37002,/Users/mehedihasan/rp_ws/phase15/logs/r038_a1_4_a2_3_t6_d0p9.log
39,4,3,8,1.1,ok,ok,33483,12907,22901,0.683959,5363,124125,77204702,230192334,199,692,1196,20814,29451,14169,22708,0.771043,5237,90833,63644641,203382667,240,859,1140,20469,/Users/mehedihasan/rp_ws/phase15/logs/r039_a1_4_a2_3_t8_d1p1.log
40,4,3,10,1.2,ok,ok,25569,14938,16464,0.643905,5786,1046875,88808757,268812792,119,443,486,15416,29029,26599,26115,0.899618,5991,916291,86489185,251546750,64,310,425,25316,/Users/mehedihasan/rp_ws/phase15/logs/r040_a1_4_a2_3_t10_d1p2.log
41,4,4,4,0.8,ok,ok,38942,0,37974,0.975143,4761,153875,30760093,91725792,165,928,1945,34936,35863,0,33843,0.943675,4597,135000,28250112,89451000,277,1668,2384,29514,/Users/mehedihasan/rp_ws/phase15/logs/r041_a1_4_a2_4_t4_d0p8.log
42,4,4,6,0.9,ok,ok,42017,12,36258,0.862936,5063,318334,29714038,79701584,352,1469,2930,31507,33608,0,24174,0.719293,4858,516916,26214711,98759208,476,1738,2944,19016,/Users/mehedihasan/rp_ws/phase15/logs/r042_a1_4_a2_4_t6_d0p9.log
43,4,4,8,1.1,ok,ok,63407,9102,60416,0.952829,6609,577584,59131159,255900417,129,673,1215,58399,10857,0,1,0.000092,6581,210625,9293626,9293626,0,0,1,0,/Users/mehedihasan/rp_ws/phase15/logs/r043_a1_4_a2_4_t8_d1p1.log
44,4,4,10,1.2,ok,ok,34364,17606,25681,0.747323,5534,400167,77228954,245116876,181,659,979,23862,29275,14223,14358,0.490453,5307,71958,52703216,170891000,381,807,821,12349,/Users/mehedihasan/rp_ws/phase15/logs/r044_a1_4_a2_4_t10_d1p2.log
45,4,5,4,0.8,ok,ok,39384,0,38108,0.967601,4805,156625,28946343,94741584,144,874,1664,35426,36142,0,33917,0.938437,4688,108375,28883724,95087792,256,1193,1908,30560,/Users/mehedihasan/rp_ws/phase15/logs/r045_a1_4_a2_5_t4_d0p8.log
46,4,5,6,0.9,ok,ok,44466,37,41516,0.933657,5292,1195250,31949884,89869375,244,1091,2640,37541,33177,0,24893,0.750309,4808,85958,21371267,72112791,397,1785,3186,19525,/Users/mehedihasan/rp_ws/phase15/logs/r046_a1_4_a2_5_t6_d0p9.log
47,4,5,8,1.1,ok,ok,59599,15473,57651,0.967315,6634,277084,72264396,244478500,52,321,718,56560,9736,0,1,0.000103,6276,73042,4745041,4745041,0,1,0,0,/Users/mehedihasan/rp_ws/phase15/logs/r047_a1_4_a2_5_t8_d1p1.log
48,4,5,10,1.2,ok,ok,38215,12700,29122,0.762057,5819,1796917,66252122,238348208,280,1355,1484,26003,27666,10357,11467,0.414480,5311,1523750,28512431,98721875,215,1150,1319,8783,/Users/mehedihasan/rp_ws/phase15/logs/r048_a1_4_a2_5_t10_d1p2.log
49,5,2,4,0.8,ok,ok,33104,0,25559,0.772082,5006,169416,31000239,86564875,361,1254,1563,22381,39809,22,38637,0.970559,5181,116084,43246477,120782083,105,428,1161,36943,/Users/mehedihasan/rp_ws/phase15/logs/r049_a1_5_a2_2_t4_d0p8.log
50,5,2,6,0.9,ok,ok,16508,0,4457,0.269990,6045,335125,27920182,63578333,111,241,275,3830,45262,21067,43411,0.959105,6957,131208,86373001,235408959,116,492,840,41963,/Users/mehedihasan/rp_ws/phase15/logs/r050_a1_5_a2_2_t6_d0p9.log
51,5,2,8,1.1,ok,ok,25627,7457,5914,0.230772,5595,233416,51013057,183861584,184,675,698,4357,32111,25422,30076,0.936626,6367,127333,129848538,367159417,53,167,196,29660,/Users/mehedihasan/rp_ws/phase15/logs/r051_a1_5_a2_2_t8_d1p1.log
52,5,2,10,1.2,ok,ok,17740,4384,3353,0.189008,6493,113167,84761122,215568500,54,121,117,3061,38042,30431,34292,0.901425,7040,125917,92707767,322716042,190,571,685,32846,/Users/mehedihasan/rp_ws/phase15/logs/r052_a1_5_a2_2_t10_d1p2.log
53,5,3,4,0.8,ok,ok,39523,0,35522,0.898768,4898,206000,28458915,124425959,300,1800,2205,31217,37208,0,33982,0.913298,4771,246834,28746484,124220834,287,1354,2395,29946,/Users/mehedihasan/rp_ws/phase15/logs/r053_a1_5_a2_3_t4_d0p8.log
54,5,3,6,0.9,ok,ok,33415,0,23225,0.695047,4905,87041,23490435,69196834,469,1615,2281,18860,40019,1575,35962,0.898623,5250,102292,36678297,150969375,229,1125,1896,32712,/Users/mehedihasan/rp_ws/phase15/logs/r054_a1_5_a2_3_t6_d0p9.log
55,5,3,8,1.1,ok,ok,17183,31,5814,0.338358,6483,121375,25864703,68766042,112,499,638,4565,50609,14335,31029,0.613112,6968,178750,53392900,222583625,497,1762,1997,26773,/Users/mehedihasan/rp_ws/phase15/logs/r055_a1_5_a2_3_t8_d1p1.log
56,5,3,10,1.2,ok,ok,26035,10355,12360,0.474746,5780,161750,66456925,264701042,137,588,636,10999,30517,25630,26729,0.875872,6043,137250,101128140,324393417,147,710,722,25150,/Users/mehedihasan/rp_ws/phase15/logs/r056_a1_5_a2_3_t10_d1p2.log
57,5,4,4,0.8,ok,ok,38650,0,37354,0.966468,4848,210416,30790164,119629042,175,829,1875,34475,36543,0,34134,0.934078,4627,124167,28704050,119971500,383,1538,2457,29756,/Users/mehedihasan/rp_ws/phase15/logs/r057_a1_5_a2_4_t4_d0p8.log
58,5,4,6,0.9,ok,ok,38448,0,31997,0.832215,5186,463958,23517987,86112584,605,2268,4102,25022,37178,0,29912,0.804562,5009,430458,23322772,87061458,536,2548,3296,23532,/Users/mehedihasan/rp_ws/phase15/logs/r058_a1_5_a2_4_t6_d0p9.log
59,5,4,8,1.1,ok,ok,38200,22,19624,0.513717,5521,227833,32075140,212697542,319,1534,1694,16077,39921,1136,20047,0.502167,5532,105334,26166239,202356833,579,1997,2283,15188,/Users/mehedihasan/rp_ws/phase15/logs/r059_a1_5_a2_4_t8_d1p1.log
60,5,4,10,1.2,ok,ok,31775,8682,15757,0.495893,5523,162208,48538418,205263875,299,976,1242,13240,33326,13974,21491,0.644872,5684,5101750,64331434,209487875,175,758,1162,19396,/Users/mehedihasan/rp_ws/phase15/logs/r060_a1_5_a2_4_t10_d1p2.log
61,5,5,4,0.8,ok,ok,36658,0,36036,0.983032,5169,2569500,34368557,88165042,74,411,981,34570,34047,0,32953,0.967868,4853,123709,32256864,88275416,279,1401,1455,29818,/Users/mehedihasan/rp_ws/phase15/logs/r061_a1_5_a2_5_t4_d0p8.log
62,5,5,6,0.9,ok,ok,37060,0,32910,0.888019,5330,374042,27976668,140891417,239,1226,2786,28659,34682,0,27914,0.804856,5049,1242459,26796492,140692250,303,1564,2931,23116,/Users/mehedihasan/rp_ws/phase15/logs/r062_a1_5_a2_5_t6_d0p9.log
63,5,5,8,1.1,ok,ok,48376,79,33443,0.691314,5504,385667,27336919,109090167,743,2561,3750,26389,30607,0,11726,0.383115,5151,410167,15671363,55657333,501,2276,1929,7020,/Users/mehedihasan/rp_ws/phase15/logs/r063_a1_5_a2_5_t8_d1p1.log
64,5,5,10,1.2,ok,ok,50789,9933,43567,0.857804,6232,217500,64743542,209192750,225,1138,1225,40979,22156,1059,3285,0.148267,5826,119792,20969530,91089751,46,163,330,2746,/Users/mehedihasan/rp_ws/phase15/logs/r064_a1_5_a2_5_t10_d1p2.log
